Number,Gene Name, Transmembrane Domain?
1,METTL21EP,False
2,ANKRD19P,False
3,TDRG1,False
4,LINC01551,False
5,TMEM132E-DT,False
6,PDZD9,False
7,ADCY1,True
8,SOGA3,True
9,SYN2,False
10,HMGCLL1,False
11,SHISA9,True
12,GRM7,True
13,CABP7,True
14,NELL2,False
15,FGF17,False
16,SCN2B,True
17,DOC2A,False
18,RNF175,True
19,CNKSR2,False
20,GRM8,True
21,C1orf94,False
22,RIMBP2,False
23,RIMKLA,False
24,DISP2,True
25,PCDHAC2,True
26,CBLN1,False
27,TMEM130,True
28,OPCML,False
29,PPEF1,False
30,SCN3B,True
31,ZNF534,False
32,FSTL4,False
33,SCN8A,True
34,C1QL3,False
35,NOL4,False
36,SLC10A4,True
37,ZNF804A,False
38,DLGAP1,False
39,FAM135B,False
40,ANKRD30B,False
41,GABRG2,True
42,CHRNB2,True
43,CLVS2,False
44,GABRA4,True
45,PCDH8,True
46,MPPED1,False
47,VSTM2A,False
48,SH2D5,False
49,ACRV1,False
50,ANKRD18B,False
51,NYAP2,False
52,DRP2,False
53,MEPE,False
54,KCNIP4,False
55,RGS4,False
56,ZDHHC22,True
57,SLITRK5,True
58,PLPPR4,True
59,OR1F1,True
60,SIAH3,False
61,AKAIN1,False
62,VAX1,False
63,FNDC9,True
64,CSMD1,True
65,SLC35F4,True
66,KCNV1,True
67,ATOH7,False
68,STXBP5L,False
69,GPR22,True
70,SLC38A8,True
71,GRIK2,True
72,KCNJ6,True
73,GPR12,True
74,LRRTM3,True
75,CNIH2,True
76,MCHR2,True
77,TMEM196,True
78,ANKRD34C,False
79,INSYN2A,False
80,SYCE1,False
81,SLIT1,False
82,GRM5,True
83,TUBA8,False
84,ADARB2,False
85,CDK5R1,False
86,PCDHGC4,True
87,PKIB,False
88,SRRM4,False
89,EPHA5,True
90,CRH,False
91,JPH4,True
92,AMER3,False
93,FREM3,False
94,TAFA2,False
95,UNC13A,False
96,GABRB3,True
97,FOXG1,False
98,KHDC1L,False
99,TMEM63C,True
100,SLC35F3,True
101,TMEM151B,True
102,FSTL5,False
103,CPNE9,False
104,RASGEF1A,False
105,HS6ST3,True
106,FAM133A,False
107,CABP1,False
108,CCDC177,False
109,KCNC2,True
110,CBLN2,False
111,JPH3,True
112,FAM189A1,True
113,RELN,False
114,GPR137C,True
115,FGF14,False
116,DIRAS2,False
117,STMN2,False
118,GPR88,True
119,DRD1,True
120,NETO1,True
121,LRRC7,False
122,MYT1L,False
123,DAB1,False
124,GRIA4,True
125,CNTNAP5,True
126,HPCAL4,False
127,FRMPD4,False
128,CHD5,False
129,CNNM1,True
130,SCG2,False
131,SVOP,True
132,PPFIA4,False
133,DLX6,False
134,FAM81A,False
135,UNC5D,True
136,LRTM2,True
137,SORCS3,True
138,VAT1L,False
139,LHFPL4,True
140,DLGAP2,False
141,SOX1,False
142,TAC1,False
143,GPR52,True
144,KCNH1,True
145,RASGRF1,False
146,CACNG2,True
147,TMEM266,True
148,CAMK4,False
149,SMIM43,True
150,NMNAT2,False
151,CSMD3,True
152,SYNDIG1L,True
153,WSCD2,True
154,GPR83,True
155,LRRC55,True
156,GLRA3,True
157,MAGEE2,False
158,SCN3A,True
159,HTR2C,True
160,TRIM67,False
161,CITED1,False
162,GPR149,True
163,SLC4A10,True
164,KIAA1549L,True
165,VSTM5,True
166,OLFM3,False
167,ANO3,True
168,CELSR3,True
169,B4GALNT1,True
170,SPHKAP,False
171,ALK,True
172,CACNA1E,True
173,GPRIN1,False
174,SLC7A14,True
175,PCDH11Y,True
176,SYN1,False
177,PNMA2,False
178,RBFOX3,False
179,GPR6,True
180,PCLO,False
181,CELF3,False
182,C2orf80,False
183,TCEAL6,False
184,TAGLN3,False
185,KIRREL3,True
186,HAPLN4,False
187,KCNH5,True
188,LAMP5,True
189,CALN1,True
190,AKAP5,False
191,RALYL,False
192,SCN1A,True
193,HCN1,True
194,CAMK2B,False
195,VWC2L,False
196,RIIAD1,False
197,GABRA5,True
198,CNTNAP2,True
199,HTR5A,True
200,CDH9,True
201,CCNA1,False
202,PABPC1L2A,False
203,PABPC1L2A,False
204,PCDHA1,True
205,NOS1AP,False
206,MAP7D2,False
207,CCK,False
208,AP3B2,False
209,LRRTM1,True
210,DCX,False
211,MC4R,True
