Number,Gene Name, Transmembrane Domain?
1,GABBR2,True
2,CHD5,False
3,CELF5,False
4,ASIC2,True
5,PAK5,False
6,KCTD8,False
7,DAB1,False
8,MYT1L,False
9,SYNPR,True
10,SLC35F3,True
11,GRIK1,True
12,GABRB2,True
13,KCNC2,True
14,FAM189A1,True
15,FGF14,False
16,GRIN2A,True
17,LRRC7,False
18,SYT16,False
19,RBFOX3,False
20,FAM155A,True
21,CALN1,True
22,RALYL,False
23,SCN1A,True
24,KCTD16,False
25,NMNAT2,False
26,SH3GL2,False
27,KSR2,False
28,KCND2,True
29,DLGAP1,False
30,FAM135B,False
31,GABRG2,True
32,GABRG3,True
33,SYN2,False
34,CELF4,False
35,GAD2,False
36,CNKSR2,False
37,KCNJ3,True
38,KCNIP4,False
39,LRRTM3,True
40,CACNG3,True
41,ADARB2,False
42,SRRM4,False
43,JPH4,True
44,KCNJ6,True
45,STXBP5L,False
46,GRIN2B,True
47,GABRA1,True
48,SYN3,False
49,ELAVL4,False
50,GRIA1,True
51,SV2B,True
52,CACNG8,True
53,SCN2A,True
54,ELAVL3,False
55,CACNA1E,True
56,GRM5,True
57,GRIK2,True
58,ZNF804A,False
59,CAMK4,False
60,FRMPD4,False
61,RIMBP2,False
62,DLGAP2,False
63,GABRB3,True
64,SHISA9,True
65,CSMD3,True
66,ADCY1,True
67,GRM7,True
68,CSMD1,True
69,GRIA3,True
70,CADPS,False
71,GRM1,True
72,KIRREL3,True
73,OLFM3,False
74,ARPP21,False
75,SLC4A10,True
76,CAMKV,False
77,ATP8A2,True
78,MDGA2,False
79,SCN3B,True
80,CDH8,True
81,CACNA1B,True
82,SYP,True
83,UNC5D,True
84,NETO1,True
85,STMN2,False
86,CALY,True
87,RAB3C,False
88,NEFL,False
89,ADD2,False
90,TAGLN3,False
91,PTPRR,True
92,HCN1,True
93,KIAA1549L,True
94,CAMK2B,False
95,PCLO,False
96,FSTL5,False
97,SYT1,True
98,CDH18,True
99,CNTNAP5,True
100,GPR158,True
101,SCG5,False
102,EPHA5,True
103,CNTNAP2,True
104,TMEM132D,True
105,ATP2B2,True
106,FRRS1L,True
107,GRIA4,True
108,NELL2,False
109,OPCML,False
110,HS6ST3,True
111,SCG2,False
112,DCC,True
113,NRXN3,True
