Number,Gene Name, Transmembrane Domain?
1,SLC25A18,True
2,NAT8L,True
3,KCNE5,True
4,PCDHA11,True
5,GABRA2,True
6,PCDHA13,True
7,TMEM229A,True
8,FAM181A,False
9,ELOVL2,True
10,SPX,False
11,GRIN2C,True
12,POU3F2,False
13,CYP46A1,True
14,MAPK4,False
15,WDR49,False
16,KNDC1,False
17,SLC39A12,True
18,NTSR2,True
19,FEZF2,False
20,ADORA1,True
21,RGR,True
22,LIX1,False
23,SLCO1C1,True
24,ZIC5,False
25,AIFM3,False
26,ZIC2,False
27,PSD2,True
28,MEGF10,True
29,MEIG1,False
30,DBX2,False
31,LCTL,True
32,LHX2,False
33,ACBD7,False
34,ENHO,False
35,ADGRB1,True
36,POU3F4,False
37,MMD2,True
38,SLC25A48,True
39,ADCY8,True
40,LRRC3B,True
41,NCAN,False
42,CPNE6,False
43,RPE65,False
44,GPC5,False
45,RORB,False
46,TRPM3,True
47,BCAN,False
48,CDH20,True
49,GABRG1,True
50,NR2E1,False
51,HEPACAM,True
52,ANKRD45,False
53,CRB1,True
54,RNF182,True
55,MLC1,True
56,CTNNA2,False
57,TTYH1,True
58,KCNQ2,True
59,ENKUR,False
60,FAM181B,False
61,GPR37L1,True
62,CERS1,True
63,KIAA0319,True
64,RLBP1,False
65,SLC6A11,True
66,ETNPPL,False
67,ACSBG1,False
68,PAX6,False
69,DIPK1C,True
70,NKAIN4,True
71,HES5,False
72,RFX4,False
73,RGS20,False
